AnalysisRecord,Passage,Analysis,List
urn:cite:ptolemy:georegion_ex.3,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.11,#cornavii,
urn:cite:ptolemy:georegion_ex.4,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.11,#coritani,
urn:cite:ptolemy:georegion_ex.5,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.11,#catuvellani,
urn:cite:ptolemy:georegion_ex.6,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.11,#iceni,
urn:cite:ptolemy:georegion_ex.7,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.11,#trinovantes,
urn:cite:ptolemy:georegion_ex.8,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.12,#silures,
urn:cite:ptolemy:georegion_ex.9,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.12,#dobuni,
urn:cite:ptolemy:georegion_ex.10,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.12,#atrebatii,
urn:cite:ptolemy:georegion_ex.11,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.12,#cantii,
urn:cite:ptolemy:georegion_ex.12,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.13,#belgae,
urn:cite:ptolemy:georegion_ex.13,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.13,#durotriges,
urn:cite:ptolemy:georegion_ex.14,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.13,#dumnonii,
urn:cite:ptolemy:georegion_ex.15,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.2,urn:cite:ptolemy:physregion.15,urn:cite:ptolemy:list.list0264
urn:cite:ptolemy:georegion_ex.16,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.3,urn:cite:ptolemy:physregion.15,urn:cite:ptolemy:list.list0265
urn:cite:ptolemy:georegion_ex.17,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.4,urn:cite:ptolemy:physregion.17,urn:cite:ptolemy:list.list0266
urn:cite:ptolemy:georegion_ex.18,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.5,urn:cite:ptolemy:physregion.17,urn:cite:ptolemy:list.list0267
urn:cite:ptolemy:georegion_ex.19,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.6,urn:cite:ptolemy:physregion.17,urn:cite:ptolemy:list.list0268
urn:cite:ptolemy:georegion_ex.20,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.7,urn:cite:ptolemy:physregion.17,urn:cite:ptolemy:list.list0269
urn:cite:ptolemy:georegion_ex.21,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.8,urn:cite:ptolemy:physregion.17,urn:cite:ptolemy:list.list0270
urn:cite:ptolemy:georegion_ex.22,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.9,urn:cite:ptolemy:physregion.17,urn:cite:ptolemy:list.list0271
urn:cite:ptolemy:georegion_ex.23,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.10,urn:cite:ptolemy:physregion.23,urn:cite:ptolemy:list.list0272
urn:cite:ptolemy:georegion_ex.24,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.10,urn:cite:ptolemy:physregion.24,urn:cite:ptolemy:list.list0273
urn:cite:ptolemy:georegion_ex.25,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.10,urn:cite:ptolemy:physregion.25,urn:cite:ptolemy:list.list0274
urn:cite:ptolemy:georegion_ex.26,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.11,urn:cite:ptolemy:physregion.25,urn:cite:ptolemy:list.list0275
urn:cite:ptolemy:georegion_ex.27,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.12,urn:cite:ptolemy:physregion.27,urn:cite:ptolemy:list.list0276
urn:cite:ptolemy:georegion_ex.28,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.13,urn:cite:ptolemy:physregion.27,urn:cite:ptolemy:list.list0277
urn:cite:ptolemy:georegion_ex.29,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.14,urn:cite:ptolemy:physregion.27,urn:cite:ptolemy:list.list0278
urn:cite:ptolemy:georegion_ex.30,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.14,urn:cite:ptolemy:physregion.30,urn:cite:ptolemy:list.list0279
urn:cite:ptolemy:georegion_ex.31,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.15,urn:cite:ptolemy:physregion.30,urn:cite:ptolemy:list.list0280
urn:cite:ptolemy:georegion_ex.32,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.16,urn:cite:ptolemy:physregion.30,urn:cite:ptolemy:list.list0281
urn:cite:ptolemy:georegion_ex.33,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.17,urn:cite:ptolemy:physregion.30,urn:cite:ptolemy:list.list0282
urn:cite:ptolemy:georegion_ex.34,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.18,urn:cite:ptolemy:physregion.30,urn:cite:ptolemy:list.list0283
urn:cite:ptolemy:georegion_ex.35,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.19,urn:cite:ptolemy:physregion.30,urn:cite:ptolemy:list.list0284
urn:cite:ptolemy:georegion_ex.36,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.20,urn:cite:ptolemy:physregion.30,urn:cite:ptolemy:list.list0285
urn:cite:ptolemy:georegion_ex.37,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.21,urn:cite:ptolemy:physregion.30,urn:cite:ptolemy:list.list0286
urn:cite:ptolemy:georegion_ex.38,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.22,urn:cite:ptolemy:physregion.30,
urn:cite:ptolemy:georegion_ex.39,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.23,urn:cite:ptolemy:physregion.30,
urn:cite:ptolemy:georegion_ex.40,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.33,urn:cite:ptolemy:physregion.40,
urn:cite:ptolemy:georegion_ex.41,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.34,urn:cite:ptolemy:physregion.41,
urn:cite:ptolemy:georegion_ex.42,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.35,urn:cite:ptolemy:physregion.40,
urn:cite:ptolemy:georegion_ex.43,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.36,urn:cite:ptolemy:physregion.40,
urn:cite:ptolemy:georegion_ex.44,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.37,urn:cite:ptolemy:physregion.44,
urn:cite:ptolemy:georegion_ex.45,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.38,urn:cite:ptolemy:physregion.44,
urn:cite:ptolemy:georegion_ex.46,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.39,urn:cite:ptolemy:physregion.44,
urn:cite:ptolemy:georegion_ex.47,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.69,urn:cite:ptolemy:physregion.15,
urn:cite:ptolemy:georegion_ex.48,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.69,urn:cite:ptolemy:physregion.17,
urn:cite:ptolemy:georegion_ex.49,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.69,urn:cite:ptolemy:physregion.27,
urn:cite:ptolemy:georegion_ex.50,urn:cts:greekLit:tlg0363.tlg009.hc01:5.3.5,urn:cite:ptolemy:physregion.50,
urn:cite:ptolemy:georegion_ex.51,urn:cts:greekLit:tlg0363.tlg009.hc01:5.3.6,urn:cite:ptolemy:physregion.51,
urn:cite:ptolemy:georegion_ex.52,urn:cts:greekLit:tlg0363.tlg009.hc01:5.3.7,#milyas,
urn:cite:ptolemy:georegion_ex.53,urn:cts:greekLit:tlg0363.tlg009.hc01:5.3.8,#cabalia,
