Ethnic,Label
urn:cite:ptolemy:ethnic.2,Novantae
urn:cite:ptolemy:ethnic.3,Selgovae
urn:cite:ptolemy:ethnic.4,Damnonii
urn:cite:ptolemy:ethnic.5,Vacomagi
urn:cite:ptolemy:ethnic.6,Venicones
urn:cite:ptolemy:ethnic.7,Brigantes
urn:cite:ptolemy:ethnic.8,Ordovices
urn:cite:ptolemy:ethnic.9,Demetae
urn:cite:ptolemy:ethnic.10,Regni
urn:cite:ptolemy:ethnic.11,Massalia
urn:cite:ptolemy:ethnic.12,Liguria
urn:cite:ptolemy:ethnic.13,Tusci
urn:cite:ptolemy:ethnic.14,Latium
urn:cite:ptolemy:ethnic.15,Campania
urn:cite:ptolemy:ethnic.16,Picentini
urn:cite:ptolemy:ethnic.17,Lucania
urn:cite:ptolemy:ethnic.18,Bruttium
urn:cite:ptolemy:ethnic.19,Magna Graecia
urn:cite:ptolemy:ethnic.20,Salentini
urn:cite:ptolemy:ethnic.21,Calabria
urn:cite:ptolemy:ethnic.22,Apulia-Peucetia
urn:cite:ptolemy:ethnic.23,Apulia-Daunia
urn:cite:ptolemy:ethnic.24,Frentani
urn:cite:ptolemy:ethnic.25,Paeligni
urn:cite:ptolemy:ethnic.26,Marrucini
urn:cite:ptolemy:ethnic.27,Piceni
urn:cite:ptolemy:ethnic.28,Semnones
urn:cite:ptolemy:ethnic.29,Boii-Galli
urn:cite:ptolemy:ethnic.30,Venetia
urn:cite:ptolemy:ethnic.31,Carni
urn:cite:ptolemy:ethnic.32,Istria
urn:cite:ptolemy:ethnic.36,Cenomani
urn:cite:ptolemy:ethnic.37,Beluni
urn:cite:ptolemy:ethnic.38,Insubres
urn:cite:ptolemy:ethnic.39,Salassi
urn:cite:ptolemy:ethnic.40,Taurini
urn:cite:ptolemy:ethnic.41,Libici
urn:cite:ptolemy:ethnic.42,Centrones
urn:cite:ptolemy:ethnic.43,Leponti
urn:cite:ptolemy:ethnic.44,Caturiges
urn:cite:ptolemy:ethnic.45,Segusiani
urn:cite:ptolemy:ethnic.46,Nerusi
urn:cite:ptolemy:ethnic.47,Suetri
urn:cite:ptolemy:ethnic.48,Vedianti
urn:cite:ptolemy:ethnic.50,Togata
urn:cite:ptolemy:ethnic.54,Umbria
urn:cite:ptolemy:ethnic.56,Sabines
urn:cite:ptolemy:ethnic.57,Aequicli
urn:cite:ptolemy:ethnic.58,Marsi
urn:cite:ptolemy:ethnic.59,Praetuti
urn:cite:ptolemy:ethnic.60,Vestini
urn:cite:ptolemy:ethnic.65,Caraceni
urn:cite:ptolemy:ethnic.66,Samnites
urn:cite:ptolemy:ethnic.70,Irpini
urn:cite:ptolemy:ethnic.77,Pontos
urn:cite:ptolemy:ethnic.0,No ethnic
