Region,Label
urn:cite:ptolemy:physregion.0,No physical region
urn:cite:ptolemy:physregion.1,#otalini
urn:cite:ptolemy:physregion.2,#parisi
urn:cite:ptolemy:physregion.3,#cornavii
urn:cite:ptolemy:physregion.4,#coritani
urn:cite:ptolemy:physregion.5,#catuvellani
urn:cite:ptolemy:physregion.6,#iceni
urn:cite:ptolemy:physregion.7,#trinovantes
urn:cite:ptolemy:physregion.8,#silures
urn:cite:ptolemy:physregion.9,#dobuni
urn:cite:ptolemy:physregion.10,#atrebatii
urn:cite:ptolemy:physregion.11,#cantii
urn:cite:ptolemy:physregion.12,#belgae
urn:cite:ptolemy:physregion.13,#durotriges
urn:cite:ptolemy:physregion.14,#dumnonii
urn:cite:ptolemy:physregion.15,Ligurian Sea
urn:cite:ptolemy:physregion.17,Tyrrhenian Sea
urn:cite:ptolemy:physregion.23,Adriatic Sea
urn:cite:ptolemy:physregion.24,Gulf of Scylacium
urn:cite:ptolemy:physregion.25,Gulf of Tarentum
urn:cite:ptolemy:physregion.27,Ionian Sea
urn:cite:ptolemy:physregion.30,Adriatic Gulf
urn:cite:ptolemy:physregion.40,Grian Alps
urn:cite:ptolemy:physregion.41,Cottian Alps
urn:cite:ptolemy:physregion.44,Coastal Alps
urn:cite:ptolemy:physregion.50,Mount Cragus
urn:cite:ptolemy:physregion.51,Mount Masicytes
urn:cite:ptolemy:physregion.52,#milyas
urn:cite:ptolemy:physregion.53,#cabalia
