SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_3659,'tas tou Korakos potamou ekbolas',36.76,43.92
urn:cite:ptolemy:lonlat.pt_ll_3660,'Dioskourias hē kai Sebastopolis',37.24,43.74
urn:cite:ptolemy:lonlat.pt_ll_3661,'Hippou potamou ekbolai',37.12,43.56
urn:cite:ptolemy:lonlat.pt_ll_3662,'Neapolis',37.48,43.02
urn:cite:ptolemy:lonlat.pt_ll_3663,'Kuaneou potamou ekbolai',37.48,43.38
urn:cite:ptolemy:lonlat.pt_ll_5474,'Siganeon',37.48,43.32
urn:cite:ptolemy:lonlat.pt_ll_5475,'Aiapolis',37.84,42.84
urn:cite:ptolemy:lonlat.pt_ll_3664,'Kharioustoupotamou ekbolai',37.84,42.66
urn:cite:ptolemy:lonlat.pt_ll_3665,'Phasios potamou ekbolai',38.2,42.48
urn:cite:ptolemy:lonlat.pt_ll_3666,'Phasis polis',38.2,42.30
urn:cite:ptolemy:lonlat.pt_ll_5953,'peratos',39.28,42.24
urn:cite:ptolemy:lonlat.pt_ll_5955,'grammēn',40.0,44.28
urn:cite:ptolemy:lonlat.pt_ll_3667,'Mekhlessos',39.64,43.74
urn:cite:ptolemy:lonlat.pt_ll_3668,'Madia',39.46,43.38
urn:cite:ptolemy:lonlat.pt_ll_3669,'Sarakē',38.56,42.48
urn:cite:ptolemy:lonlat.pt_ll_3670,'Sourion',38.8,42.24
urn:cite:ptolemy:lonlat.pt_ll_3671,'Zadris',39.28,42.24
